match_id,league,league_name,date,home_team,away_team,home_score,away_score,status,completed,venue
760415,fifa.world,FIFA World Cup 2026,2026-06-11,Mexico,South Africa,2,0,post,True,Estadio Banorte
760414,fifa.world,FIFA World Cup 2026,2026-06-12,South Korea,Czechia,2,1,post,True,Estadio Akron
760416,fifa.world,FIFA World Cup 2026,2026-06-12,Canada,Bosnia-Herzegovina,1,1,post,True,BMO Field
760417,fifa.world,FIFA World Cup 2026,2026-06-13,United States,Paraguay,4,1,post,True,SoFi Stadium
760420,fifa.world,FIFA World Cup 2026,2026-06-13,Qatar,Switzerland,1,1,post,True,Levi's Stadium
760419,fifa.world,FIFA World Cup 2026,2026-06-13,Brazil,Morocco,1,1,post,True,MetLife Stadium
760418,fifa.world,FIFA World Cup 2026,2026-06-14,Haiti,Scotland,0,1,post,True,Gillette Stadium
760421,fifa.world,FIFA World Cup 2026,2026-06-14,Australia,Türkiye,2,0,post,True,BC Place
760422,fifa.world,FIFA World Cup 2026,2026-06-14,Germany,Curaçao,7,1,post,True,NRG Stadium
760425,fifa.world,FIFA World Cup 2026,2026-06-14,Netherlands,Japan,2,2,post,True,AT&T Stadium
760423,fifa.world,FIFA World Cup 2026,2026-06-14,Ivory Coast,Ecuador,1,0,post,True,Lincoln Financial Field
760424,fifa.world,FIFA World Cup 2026,2026-06-15,Sweden,Tunisia,5,1,post,True,Estadio BBVA
760428,fifa.world,FIFA World Cup 2026,2026-06-15,Spain,Cape Verde,0,0,post,True,Mercedes-Benz Stadium
760426,fifa.world,FIFA World Cup 2026,2026-06-15,Belgium,Egypt,1,1,post,True,Lumen Field
760429,fifa.world,FIFA World Cup 2026,2026-06-15,Saudi Arabia,Uruguay,1,1,post,True,Hard Rock Stadium
760427,fifa.world,FIFA World Cup 2026,2026-06-16,Iran,New Zealand,2,2,post,True,SoFi Stadium
760432,fifa.world,FIFA World Cup 2026,2026-06-16,France,Senegal,3,1,post,True,MetLife Stadium
760430,fifa.world,FIFA World Cup 2026,2026-06-16,Iraq,Norway,1,4,post,True,Gillette Stadium
760433,fifa.world,FIFA World Cup 2026,2026-06-17,Argentina,Algeria,3,0,post,True,GEHA Field at Arrowhead Stadium
760431,fifa.world,FIFA World Cup 2026,2026-06-17,Austria,Jordan,3,1,post,True,Levi's Stadium
